僕は僕を好きになる ~off vocal ver.~,乃木坂46
JOYFUL LOVE off vocal ver.,日向坂46
青春の馬 off vocal ver.,日向坂46
キュン off vocal ver.,日向坂46
ドレミソラシド off vocal ver.,日向坂46
ソンナコトナイヨ off vocal ver.,日向坂46
なぜ 恋をして来なかったんだろう? -OFF VOCAL ver.-,櫻坂46
キツネ off vocal ver.,日向坂46
エキセントリック off vocal ver.,欅坂46
川は流れる off vocal ver.,日向坂46
ブルームーンキス -OFF VOCAL ver.-,櫻坂46
帰り道は遠回りしたくなる〜off vocal ver.〜,乃木坂46
シンクロニシティ〜off vocal ver.〜,乃木坂46
黒い羊 - off vocal ver.,欅坂46
逃げ水 〜off vocal ver.〜,乃木坂46
Sing Out!〜off vocal ver.〜,乃木坂46
裸足でSummer 〜off vocal ver.〜,乃木坂46
夜明けまで強がらなくてもいい〜 off vocal ver.〜,乃木坂46
インフルエンサー 〜off vocal ver.〜,乃木坂46
ジコチューで行こう!〜off vocal ver.〜,乃木坂46
二人セゾン off vocal ver.,欅坂46
気づいたら片想い 〜off vocal ver.〜,乃木坂46
アンビバレント off vocal ver.,欅坂46
空扉〜off vocal ver.〜,乃木坂46
命は美しい〜off vocal ver.〜,乃木坂46
何度目の青空か?〜off vocal ver.〜,乃木坂46
ハルジオンが咲く頃〜off vocal ver.〜,乃木坂46
風に吹かれても off vocal ver.,欅坂46
あらかじめ語られるロマンス〜off vocal ver.〜,乃木坂46
もう森へ帰ろうか? off vocal ver.,欅坂46
滑走路〜off vocal ver.〜,乃木坂46
他の星から off vocal ver.,乃木坂46
言霊砲〜off vocal ver.〜,乃木坂46
不協和音 off vocal ver.,欅坂46
ガラスを割れ! off vocal ver.,欅坂46
いつかできるから今日できる〜off vocal ver.〜,乃木坂46
全部 夢のまま~off vocal ver.~,乃木坂46
猫舌カモミールティー~off vocal ver.~,乃木坂46
ごめんねFingers crossed~off vocal ver.~,乃木坂46
大人は信じてくれない off vocal ver.,欅坂46
ホントの時間 off vocal ver.,日向坂46
泣いたっていいじゃないか? 〜off vocal ver.〜,乃木坂46
ボーダー〜off vocal ver.〜,乃木坂46
サヨナラ Stay with me~off vocal ver.~,乃木坂46
Against〜off vocal ver.〜,乃木坂46
道,EXILE
桜,コブクロ
桜,FUNKY MONKEY BABYS
蕾(つぼみ),コブクロ
流星,コブクロ
大空と大地の中で,松山千春
月のしずく,柴咲コウ
雨,森高千里
全力少年 - backing track,スキマスイッチ
夢をあきらめないで,岡村孝子
サボテンの花,チューリップ
HOWEVER,GLAY
月光,鬼束ちひろ
涙そうそう,夏川りみ
WOW WAR TONIGHT〜時には起こせよムーヴメント〜 - TWO MILLION MIX,H Jungle With t
笑えれば,ウルフルズ
夏の終りのハーモニー,安全地帯
"Hello, my friend",松任谷由実
夜空ノムコウ (Album ver.),川村結花
Time goes by,Every Little Thing
ロマンスの神様,広瀬香美
少年時代 - Remastered 2018,井上陽水
ひまわり,福山雅治
もらい泣き,一青窈
言葉にできない,小田和正
何も言えなくて・・・夏,THE JAYWALK
